grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,parent_other_than_English_frequency,language_at_home_text,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",absent_times,office_times,dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				",dei_fair_to_boys,share_text,temp,swsd_01,stmarg_remote,dei_stmarg,m_b63,
11,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,Yes,Single Parent,I don't know,3,,"Spanish, Dialect, English ",11-24,0-5,"Yes, three or more",8,2,5,4,5,5,4.75,3,4,5,5,4.25 ,,2,1,2,1,2,1,,1.50 ,1,1,1,1,4,4,3,3.666666667,1,1,1,1,1,1,1,2,1,1,1,1,1,1.166666667,3,3,2,2.50 ,2.63 ,,,4,3,2,1,2,2.4,5,,,,,,,Comparison Data
7,Female,Yes,,,Black or African American,,,Single Parent,,1,,English,11-24,5-10,"Yes, one",8,7,3,2,3,3,2.75,4,4,3,4,3.75 ,,5,3,3,4,4,4,,3.83 ,4,4,4,4,4,5,5,4.666666667,4,3,5,3,5,4,4,4,3,5,4,3,5,4,5,4,4,,4.33 ,,,,4,4,5,4,4.25,3,,,,,,,Comparison Data
10,Male,Yes,Questioning,Christian,White,No,No,Parents,Finished a 4-year college degree,1,,English,25-99,10-15,"Yes, one",8,4,5,3,5,5,4.5,4,4,3,4,3.75 ,,2,3,3,3,3,2,,2.67 ,1,1,1,1,3,4,3,3.333333333,3,2,1,2,1,2,1.833333333,2,1,1,1,1,1,1.166666667,4,4,5,3.50 ,4.13 ,,,2,1,2,3,3,2.2,5,,,,,,,Comparison Data
11,Male,No,Prefer not to answer,Christian,Black or African American,No,Yes,Stepparent,Finished a professional or graduate degree after college,1,,English,25-99,5-10,"Yes, three or more",8,3,4,5,5,5,4.75,5,5,5,5,5.00 ,,2,3,4,3,5,4,,3.50 ,0,0,1,0.333333333,1,3,3,2.333333333,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1,3,5,4,2.50 ,3.63 ,,,1,1,1,1,1,1,5,,,,,,,Comparison Data
9,Male,Yes,Prefer not to answer,Atheist,White,No,No,Stepparent,Finished high school,1,,english,11-24,0-5,"Yes, one",8,4,5,4,5,5,4.75,4,3,3,3,3.25 ,,2,2,2,2,2,2,,2.00 ,0,0,0,0,4,4,3,3.666666667,3,3,2,2,1,3,2.333333333,1,1,1,1,1,1,1,3,4,4,3.50 ,3.63 ,,,1,3,3,3,5,3,5,,,,,,,Comparison Data
10,Male,No,Heterosexual,None,White,No,No,Parents,Attended some college or earned a 2-year degree,1,,English,25-99,0-5,"Yes, two",8,,3,3,3,3,3,3,4,4,3,3.50 ,,3,4,3,3,4,4,,3.50 ,,,,#DIV/0!,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4.50 ,4.13 ,,,4,4,4,5,5,4.4,3,,,,,,,Comparison Data
7,Female,No,Bisexual,,Black or African American,Yes,Yes,Single Parent,Finished high school,2,,Korean,0-10,0-5,"Yes, two",8,3,5,5,3,5,4.5,3,4,4,5,4.00 ,,5,3,4,4,4,4,,4.00 ,5,4,4,4.333333333,5,5,4,4.666666667,4,1,1,1,1,2,1.666666667,1,1,1,1,1,1,1,4,4,4,4.00 ,4.00 ,,,4,4,3,5,4,4,5,,,,,,,Comparison Data
9,Female,No,Heterosexual,None,Black or African American,No,Yes,Single Parent,Finished a 4-year college degree,2,,english and sign language,0-10,0-5,"Yes, three or more",8,4,4,4,5,5,4.5,3,4,5,4,4.00 ,,,1,4,2,,,,2.33 ,,,,#DIV/0!,2,2,2,2,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,2.50 ,2.50 ,,,,,,,,#DIV/0!,5,,,,,,,Comparison Data
9,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",,No,Parents,Finished a professional or graduate degree after college,1,,Spanish,11-24,0-5,"Yes, one",8,7,3,4,5,2,3.5,5,4,4,5,4.50 ,,4,5,5,3,5,5,,4.50 ,4,5,4,4.333333333,4,3,4,3.666666667,5,4,4,3,1,1,3,3,4,2,1,1,1,2,1,5,5,5.00 ,4.00 ,,,,,,,,#DIV/0!,3,,,,,,,Comparison Data
11,Female,No,Heterosexual,None,White,No,No,Single Parent,Finished a 4-year college degree,1,,english,25-99,0-5,"Yes, one",8,3,3,2,3,3,2.75,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.50 ,2.88 ,,,3,3,3,3,3,3,3,,,,,,,Comparison Data
